2.76	3.18	2.81 	61	8	0.4	0.4	2.5	-1	5.85	3.95	1.36	6.28.1
4.45	3.56	1.86	27	16	0.5	0.3	1	1	1.83	3.35	3.18	6.28.2
2.63	3.03	3.00	12	3	0.7	0.8	4	1	1.36	3.95	5.85	6.28.3
4.31	3.62	1.88	55	21	0.2	0.3	1	1	1.77	3.5	3.24	6.28.4
2.34	3.06	3.40	7	5	0.6	0.5	2.5	-1	5.2	3.6	1.45	6.28.5
2.74	2.93	2.91 	14	4	0.7	0.4	4	1	1.36	3.85	6.10	6.28.6
6.26	3.82	1.60 	70	10	0.2	0.5	1	1	2.25	3.2	2.5	6.28.7
1.87	3.26	4.83 	20	12	0.7	0.4	4	-1	3.55	3.1	1.8	6.28.8
